State Name_x,District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,State Name_y,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Bihar,Kaimur (Bhabua),325143.0,21134.295000000002,47145.73499999999,Bihar,15299.0,703.754,10739.898000000001
Bihar,Rohtas,512383.0,32792.512,108112.81300000001,Bihar,95678.0,5645.002,65443.75200000001
Bihar,Aurangabad,428291.0,28267.206000000002,73666.052,Bihar,49006.0,2646.3240000000005,33324.08
Bihar,Aurangabad,428291.0,28267.206000000002,73666.052,Maharashtra,49006.0,686.084,42831.244000000006
Bihar,Aurangabad,428291.0,28267.206000000002,73666.052,Bihar,427343.0,23076.522000000004,290593.24000000005
Bihar,Aurangabad,428291.0,28267.206000000002,73666.052,Maharashtra,427343.0,5982.802,373497.78200000006
Maharashtra,Aurangabad,428291.0,34263.28,84801.618,Bihar,49006.0,2646.3240000000005,33324.08
Maharashtra,Aurangabad,428291.0,34263.28,84801.618,Maharashtra,49006.0,686.084,42831.244000000006
Maharashtra,Aurangabad,428291.0,34263.28,84801.618,Bihar,427343.0,23076.522000000004,290593.24000000005
Maharashtra,Aurangabad,428291.0,34263.28,84801.618,Maharashtra,427343.0,5982.802,373497.78200000006
Bihar,Aurangabad,551789.0,36418.074,94907.708,Bihar,49006.0,2646.3240000000005,33324.08
Bihar,Aurangabad,551789.0,36418.074,94907.708,Maharashtra,49006.0,686.084,42831.244000000006
Bihar,Aurangabad,551789.0,36418.074,94907.708,Bihar,427343.0,23076.522000000004,290593.24000000005
Bihar,Aurangabad,551789.0,36418.074,94907.708,Maharashtra,427343.0,5982.802,373497.78200000006
Maharashtra,Aurangabad,551789.0,44143.12,109254.22200000001,Bihar,49006.0,2646.3240000000005,33324.08
Maharashtra,Aurangabad,551789.0,44143.12,109254.22200000001,Maharashtra,49006.0,686.084,42831.244000000006
Maharashtra,Aurangabad,551789.0,44143.12,109254.22200000001,Bihar,427343.0,23076.522000000004,290593.24000000005
Maharashtra,Aurangabad,551789.0,44143.12,109254.22200000001,Maharashtra,427343.0,5982.802,373497.78200000006
Bihar,Gaya,696289.0,55006.831,114887.68500000001,Bihar,111282.0,5230.254,86577.39600000001
Bihar,Nawada,379551.0,39093.753000000004,65662.323,Bihar,45323.0,2900.672,31408.838999999996
Bihar,Jamui,325909.0,26072.72,38783.171,Bihar,30851.0,2622.335,15086.139
Bihar,Jehanabad,186660.0,16986.06,41625.18,Bihar,28132.0,1941.1080000000002,19045.364
Bihar,Arwal,134334.0,10478.052,30225.15,Bihar,9960.0,607.56,3884.4
Sikkim,North  District,11543.0,427.09100000000007,8657.25,Sikkim,2066.0,37.188,2010.2179999999998
Sikkim,West District,32091.0,2535.189,26988.531,Sikkim,1886.0,124.476,1684.198
Sikkim,South District,31135.0,1836.9650000000001,26433.615,Sikkim,8163.0,73.46700000000001,7991.577000000001
Sikkim,East District,40626.0,3046.95,34857.108,Sikkim,41512.0,705.7040000000001,39394.888000000006
Arunachal Pradesh,Tawang,10730.0,439.92999999999995,7446.620000000001,Arunachal Pradesh,2452.0,14.712,2390.7
Arunachal Pradesh,West Kameng,17889.0,447.225,6958.821,Arunachal Pradesh,,,
Arunachal Pradesh,East Kameng,14503.0,377.07800000000003,3190.66,Arunachal Pradesh,5215.0,130.375,3337.6
Arunachal Pradesh,Papum Pare,20308.0,812.32,11128.783999999998,Arunachal Pradesh,30180.0,1056.3000000000002,27675.06
Arunachal Pradesh,Upper Subansiri,14542.0,363.55,5002.447999999999,Arunachal Pradesh,4672.0,56.064,3975.872
Arunachal Pradesh,West Siang,22272.0,178.17600000000002,15835.392,Arunachal Pradesh,8503.0,178.56300000000002,8128.8679999999995
Arunachal Pradesh,East Siang,19497.0,292.455,9241.578,Arunachal Pradesh,9524.0,409.532,8638.268
Arunachal Pradesh,Upper Siang,8569.0,34.276,4824.347,Arunachal Pradesh,2182.0,24.002000000000002,1749.9640000000002
Arunachal Pradesh,Changlang,33422.0,568.1740000000001,21824.566000000003,Arunachal Pradesh,6498.0,51.984,5932.673999999999
Arunachal Pradesh,Tirap,18420.0,184.20000000000002,15767.52,Arunachal Pradesh,6500.0,97.5,5973.5
Arunachal Pradesh,Lower Subansiri,18112.0,271.68,12334.271999999999,Arunachal Pradesh,5365.0,37.55499999999999,5284.525
Arunachal Pradesh,Kurung Kumey,18603.0,2325.375,4371.705,Arunachal Pradesh,1092.0,55.69199999999999,880.1519999999999
Arunachal Pradesh,Dibang Valley,2055.0,147.96,1329.585,Arunachal Pradesh,1175.0,65.8,965.85
Arunachal Pradesh,Lower Dibang Valley,12000.0,384.0,5760.0,Arunachal Pradesh,3950.0,146.15000000000003,3499.7
Arunachal Pradesh,Lohit,33599.0,2015.9399999999998,16631.505,Arunachal Pradesh,11372.0,409.39200000000005,10143.824
Arunachal Pradesh,Anjaw,6025.0,361.5,1668.9249999999997,Arunachal Pradesh,428.0,0.0,274.776
Nagaland,Mon,43607.0,610.4979999999999,27341.589,Nagaland,7415.0,415.23999999999995,6984.93
Nagaland,Mokokchung,37536.0,187.68,36147.168,Nagaland,17742.0,124.19399999999999,17475.87
Nagaland,Zunheboto,31267.0,531.539,22418.439000000002,Nagaland,6044.0,12.088000000000001,5705.536
Nagaland,Wokha,38499.0,384.99,22906.905,Nagaland,8170.0,16.34,7900.39
Nagaland,Dimapur,49116.0,1571.712,44990.255999999994,Nagaland,62853.0,1319.913,60841.704
Nagaland,Phek,38903.0,933.672,29332.862,Nagaland,7295.0,29.18,6828.12
Nagaland,Tuensang,40690.0,1383.46,20263.62,Nagaland,9451.0,292.981,8392.488
Nagaland,Longleng,12686.0,279.09200000000004,8753.34,Nagaland,2451.0,137.25599999999997,1855.407
Nagaland,Kiphire,16032.0,160.32,5867.7119999999995,Nagaland,4290.0,17.16,4088.37
Nagaland,Kohima,31845.0,191.07,16623.09,Nagaland,44255.0,840.845,40714.6
Nagaland,Peren,20204.0,181.836,15577.283999999998,Nagaland,4073.0,85.533,3783.817
Manipur,Senapati,38008.0,836.176,27555.8,Manipur,1826.0,32.868,1782.176
Manipur,Tamenglong,23982.0,2014.488,15924.048,Manipur,4119.0,428.37600000000003,3983.0730000000003
Manipur,Churachandpur,52972.0,1218.356,43595.956,Manipur,4853.0,111.619,4794.764
Manipur,Bishnupur,34977.0,2063.643,31864.047,Manipur,21172.0,868.0519999999999,19986.368000000002
Manipur,Thoubal,65961.0,3627.855,60486.237,Manipur,38302.0,1991.7040000000002,36042.182
Manipur,Imphal West,51055.0,2705.915,46970.6,Manipur,85746.0,3772.8240000000005,82916.38200000001
Manipur,Imphal East,64421.0,2963.366,58558.689,Manipur,46520.0,1488.64,44426.6
Manipur,Ukhrul,36084.0,1876.3680000000002,29011.536,Manipur,5806.0,243.852,5579.566
Manipur,Chandel,30377.0,1245.4569999999999,23420.666999999998,Manipur,3783.0,590.148,3665.7270000000003
Mizoram,Mamit,16726.0,986.8340000000001,13899.305999999999,Mizoram,4129.0,41.29,4075.323
Mizoram,Kolasib,9669.0,212.71800000000002,9253.233,Mizoram,12507.0,300.168,12081.761999999999
Mizoram,Aizawl,20570.0,349.69,20035.18,Mizoram,80341.0,562.387,79778.613
Mizoram,Champhai,18395.0,882.96,17456.855,Mizoram,12717.0,190.755,12386.358000000002
Mizoram,Serchhip,7472.0,463.264,7203.008000000001,Mizoram,8018.0,769.7280000000001,7969.892000000001
Mizoram,Lunglei,21479.0,837.681,17290.595,Mizoram,17315.0,138.52,16830.18
Mizoram,Lawngtlai,21993.0,1143.6360000000002,13305.765,Mizoram,5273.0,84.368,5183.3589999999995
Mizoram,Saiha,7043.0,366.23600000000005,6127.41,Mizoram,5784.0,133.032,5645.184
Tripura,West Tripura,289621.0,11584.84,246757.092,Tripura,217016.0,7812.576000000001,212892.696
Tripura,South Tripura,219171.0,9862.695,181035.24599999998,Tripura,44906.0,1616.6160000000002,44007.88
Tripura,Dhalai,89457.0,6440.904,59399.448000000004,Tripura,14071.0,1266.3899999999999,13564.444000000001
Tripura,North Tripura,150437.0,12486.271,122606.155,Tripura,42184.0,2995.064,40918.479999999996
Meghalaya,West Garo Hills,139351.0,7664.305,78454.613,Meghalaya,18594.0,1171.422,17459.766
Meghalaya,East Garo Hills,62698.0,2257.128,49719.513999999996,Meghalaya,11518.0,138.216,11137.906
Meghalaya,South Garo Hills,35930.0,1437.2,22779.62,Meghalaya,3713.0,100.251,3245.1620000000003
Meghalaya,West Khasi Hills,74832.0,6884.544,30531.456,Meghalaya,12299.0,565.754,11130.595000000001
Meghalaya,Ribhoi,57988.0,3421.2920000000004,37170.308,Meghalaya,5736.0,177.816,5242.704000000001
Meghalaya,East Khasi Hills,106248.0,9881.064000000002,47067.863999999994,Meghalaya,108843.0,2285.703,105468.86700000001
Meghalaya,Jaintia Hills,76546.0,6429.8640000000005,33374.056,Meghalaya,7171.0,150.591,6891.331
Assam,Kokrajhar,204896.0,26636.48,51019.104,Assam,17115.0,804.405,15420.614999999998
Assam,Dhubri,460602.0,81065.952,179634.78,Assam,60417.0,7370.874,48394.01699999999
Assam,Goalpara,228610.0,28804.86,141966.81,Assam,39504.0,3160.32,33578.4
Assam,Barpeta,447189.0,84071.532,312137.92199999996,Assam,52192.0,3862.2080000000005,48434.176
Assam,Morigaon,232206.0,34366.488000000005,132821.83200000002,Assam,25275.0,2325.3,22823.325
Assam,Nagaon,674999.0,93149.86200000001,485999.27999999997,Assam,124186.0,7326.974,118225.07200000001
Assam,Sonitpur,483325.0,49299.149999999994,265828.75,Assam,64528.0,2903.7599999999998,61301.6
Assam,Lakhimpur,293239.0,28444.182999999997,157469.34300000002,Assam,34694.0,1908.17,32855.218
Assam,Dhemaji,211758.0,21175.800000000003,85338.47399999999,Assam,16504.0,1188.2880000000002,15777.823999999999
Assam,Tinsukia,290704.0,14535.2,224714.192,Assam,90910.0,4545.5,85909.95
Assam,Dibrugarh,299852.0,17091.564000000002,222490.184,Assam,77163.0,3163.6829999999995,74385.13200000001
Assam,Sivasagar,360182.0,21971.102,258970.85800000004,Assam,45047.0,1756.833,41983.804000000004
Assam,Jorhat,286330.0,23192.73,168648.37,Assam,80824.0,3232.96,76136.208
Assam,Golaghat,292893.0,23138.547,190673.34299999996,Assam,34190.0,1435.98,33403.63
Assam,Karbi Anglong,215691.0,9274.713,104610.135,Assam,37185.0,1338.66,35139.825
Assam,Dima Hasao,37610.0,1692.45,21475.31,Assam,21309.0,703.197,20584.494
Assam,Cachar,346227.0,42239.693999999996,268672.15199999994,Assam,88933.0,5424.913,85197.814
Assam,Karimganj,261945.0,39029.805,219247.96500000003,Assam,32695.0,2844.4649999999997,31844.930000000004
Assam,Hailakandi,159215.0,26748.120000000003,130397.085,Assam,16202.0,1231.3519999999999,15894.162
Assam,Bongaigaon,181923.0,22740.375,89506.11600000001,Assam,38470.0,1654.2099999999998,35238.52
Assam,Chirang,129018.0,14062.962,30964.32,Assam,11613.0,1718.7240000000002,9859.437000000002
