District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Dakshin Dinajpur,390949.0,225186.62400000004,46522.931000000004,107510.975,70077.0,24036.410999999996,6517.161000000001,64190.53199999999
Maldah,830318.0,489887.62,93825.93400000001,210900.772,128678.0,62408.83,10680.274000000001,95607.754
Murshidabad,1501066.0,842098.0260000001,255181.22000000003,520869.90200000006,350899.0,170186.01499999998,40704.284,216855.582
Birbhum,831044.0,432142.88,129642.864,155405.228,134565.0,50192.745,12514.545000000002,82892.04
Barddhaman,1364868.0,707001.6240000001,128297.592,629204.148,862368.0,329424.576,54329.184,616593.12
Nadia,1081381.0,582864.359,168695.436,771024.6529999999,468390.0,192976.68000000002,49649.34,437007.87
North Twenty Four Parganas,1209337.0,559923.031,238239.38899999997,954166.893,1649803.0,551034.2019999999,89089.36200000001,1550814.8199999998
Hugli,992085.0,451398.675,116073.94499999999,596243.085,647953.0,218360.16100000002,34341.509,575382.264
Bankura,900515.0,471869.86000000004,105360.25499999999,148584.975,90885.0,35263.38,8088.765000000001,54894.54
Puruliya,653219.0,409568.313,48338.206000000006,39846.359,99433.0,43253.355,6662.011,50611.397
Haora,483384.0,195287.136,67190.376,290997.168,869313.0,305998.17600000004,56505.345,725876.355
Kolkata,0.0,,,,1308106.0,404204.754,35318.862,1241392.594
South Twenty Four Parganas,1568802.0,782832.198,254145.924,862841.1000000001,611430.0,235400.55000000002,49525.83,508098.32999999996
Paschim Medinipur,1364335.0,712182.87,180092.22,571656.365,201048.0,65943.74399999999,16686.984,155209.056
Purba Medinipur,1193006.0,584572.94,215934.08600000004,1021213.1359999999,170707.0,59406.03599999999,17241.407,141345.39599999998
Garhwa,272872.0,170272.128,12552.112,13370.728000000001,19180.0,8535.1,1304.24,8880.34
Chatra,200974.0,115560.04999999999,9043.83,13264.284000000001,14528.0,6740.991999999999,595.6479999999999,9544.896
Kodarma,116714.0,61041.422000000006,4901.988,8870.264,34771.0,15542.637,1877.6340000000002,17489.813
Giridih,452564.0,242574.304,14029.484,26248.712,46886.0,17347.82,1594.124,28741.118
Deoghar,257373.0,155968.038,13126.023,14155.515,64337.0,24062.038,2702.154,43942.170999999995
Godda,276454.0,173336.658,25433.768,21839.866,15576.0,5731.968,654.192,10108.824
Sahibganj,223450.0,145465.94999999998,16311.849999999999,20557.4,37543.0,17457.495000000003,2928.354,20385.849
Pakur,200588.0,120152.212,14241.748,14642.923999999999,16587.0,7746.129000000001,945.4590000000001,7712.955000000001
Dhanbad,258764.0,135074.80800000002,12161.908,31569.208,405455.0,180427.475,15812.745,240434.815
Bokaro,250312.0,125906.936,10262.792,16520.592,258452.0,94851.884,8270.464,162049.404
Lohardaga,96759.0,60474.375,2709.2519999999995,7063.406999999999,14725.0,5330.450000000001,647.9000000000001,10381.125
Purbi Singhbhum,262537.0,133893.87,15227.145999999999,35705.032,342126.0,88268.508,7868.898,276095.68200000003
Palamu,355529.0,223272.212,22398.327,26309.146000000004,52375.0,21002.375,2828.2500000000005,30534.624999999996
Latehar,146377.0,84898.65999999999,3220.2940000000003,10539.144000000002,14137.0,5739.622,706.85,7888.445999999999
Hazaribagh,312983.0,151796.755,10328.439,29107.419000000005,68765.0,22761.215,2062.95,50542.275
Ramgarh,134067.0,67167.567,5094.546,14747.37,118558.0,47186.083999999995,4268.088000000001,71134.8
Dumka,303697.0,194062.383,18221.82,18829.214,23281.0,7799.135,1164.05,14946.402
Jamtara,165555.0,103637.43,8112.195000000001,7284.420000000001,20113.0,6737.8550000000005,663.729,12087.913
Ranchi,420740.0,231407.00000000003,12622.199999999999,55537.68,310242.0,98656.956,12719.921999999999,245401.422
Khunti,,,,,,,,
Gumla,216629.0,137126.157,6282.241,13864.256,16445.0,6314.88,822.25,11264.825
Simdega,144169.0,85924.724,4180.901,7064.281,11114.0,4445.6,444.56,5934.876
Pashchimi Singhbhum,336928.0,171496.352,13477.12,12466.336000000001,63396.0,23773.5,2852.8199999999997,37340.244
Saraikela-Kharsawan,217248.0,116227.68000000001,7820.928000000001,13903.872,68439.0,25048.674,2326.9260000000004,44143.155
Bargarh,411566.0,275337.65400000004,34983.11,50622.618,47395.0,22133.465,2227.565,25688.09
Jharsuguda,103224.0,73805.16,6090.216,9703.056,73962.0,33652.71,4141.871999999999,39643.632000000005
Sambalpur,220697.0,153825.809,17214.365999999998,18979.942,94798.0,39056.776000000005,4929.496,56404.81
Debagarh,91408.0,68556.0,12248.672,5393.072,7350.0,4579.05,404.25,3770.55
Sundargarh,387911.0,294424.449,22498.838,32584.524,230151.0,107940.81899999999,10126.644,150748.905
Kendujhar,490634.0,343443.8,42194.524,45628.96200000001,83664.0,40828.032,6442.128,42501.312
Mayurbhanj,689110.0,499604.75,59263.45999999999,103366.5,64479.0,28241.801999999996,5222.799,41266.56
Baleshwar,601154.0,373316.634,69733.864,136461.95799999998,82440.0,34789.68,5935.68,56059.200000000004
Bhadrak,373862.0,240393.266,33273.718,59817.92,54244.0,28586.588,4014.0560000000005,28098.392
Kendrapara,414749.0,236406.93,31106.175,65530.342000000004,23494.0,10478.324,2067.472,13579.532
Jagatsinghapur,309685.0,177449.50499999998,21987.635,68440.385,43047.0,24622.884000000002,1592.7390000000003,19285.055999999997
Cuttack,579529.0,318740.95,58532.429,129814.49599999998,210768.0,77141.088,13489.152,164399.04
Jajapur,495611.0,286463.158,72359.20599999999,98626.58899999999,45528.0,19531.512,3186.9600000000005,27863.136
Dhenkanal,315390.0,206580.45,36269.85,44785.38,36979.0,15457.222,2810.404,22113.442
Anugul,340410.0,219224.04,40849.2,56848.469999999994,74177.0,28780.675999999996,4895.682,47473.28
Nayagarh,261646.0,168238.378,31920.811999999998,41601.714,26688.0,12943.68,2028.288,14891.903999999999
Khordha,331834.0,207064.416,28205.890000000003,60725.621999999996,356895.0,130623.56999999999,18201.645,273381.56999999995
Puri,402014.0,257690.97399999996,45025.56799999999,62714.184,72210.0,33505.439999999995,4188.179999999999,52929.93
Ganjam,795476.0,490013.216,75570.22,151935.916,219918.0,87747.28199999999,11435.736,143606.454
Gajapati,152095.0,101903.65000000001,8973.605000000001,19316.065,23050.0,9381.35,1152.5,13069.350000000002
Kandhamal,218446.0,150290.848,14417.436000000002,13762.098,24489.0,11387.385,1567.296,13836.284999999998
Baudh,131377.0,98664.12699999998,6174.719,11823.93,6577.0,3689.6970000000006,355.158,3374.001
Subarnapur,176927.0,130925.98,12738.744,13977.233,16575.0,10177.05,961.3499999999999,6464.25
Balangir,476770.0,327064.22,33373.9,48153.77,62192.0,29168.048,4229.0560000000005,36133.551999999996
Nuapada,197258.0,143801.08200000002,9468.384,25051.766,11869.0,6254.963000000001,771.485,5744.596
Kalahandi,456336.0,320804.208,42895.584,37419.551999999996,38412.0,18360.935999999998,2650.4280000000003,22586.255999999998
Rayagada,237343.0,165428.07100000003,13528.551000000001,15664.638,49205.0,17615.39,2115.815,29769.024999999998
Nabarangapur,342840.0,237588.12,15084.960000000001,19884.719999999998,29424.0,15123.936,1441.776,15712.416000000001
Koraput,381789.0,250835.37300000002,20234.817,31306.697999999997,78339.0,30473.871,4386.9839999999995,50842.011
Malkangiri,167884.0,112985.93199999999,12423.416000000001,10073.039999999999,15839.0,7238.423000000001,1330.476,7555.203
Koriya,121852.0,61535.26,2680.744,10357.42,59763.0,22411.125,776.9190000000001,35439.458999999995
Surguja,,,,,65167.0,19159.097999999998,1042.672,39947.371
Jashpur,,,,,20722.0,7832.915999999999,248.66400000000002,8744.684000000001
Raigarh,354278.0,203355.572,17005.344,46056.14,66638.0,25189.163999999997,1999.1399999999999,38183.574
Raigarh,354278.0,203355.572,17005.344,46056.14,66638.0,11794.926,733.018,53976.780000000006
Raigarh,354278.0,203355.572,17005.344,46056.14,377160.0,142566.47999999998,11314.8,216112.68
Raigarh,354278.0,203355.572,17005.344,46056.14,377160.0,66757.31999999999,4148.76,305499.60000000003
Raigarh,354278.0,100260.67400000001,12754.008000000002,180327.502,66638.0,25189.163999999997,1999.1399999999999,38183.574
Raigarh,354278.0,100260.67400000001,12754.008000000002,180327.502,66638.0,11794.926,733.018,53976.780000000006
Raigarh,354278.0,100260.67400000001,12754.008000000002,180327.502,377160.0,142566.47999999998,11314.8,216112.68
Raigarh,354278.0,100260.67400000001,12754.008000000002,180327.502,377160.0,66757.31999999999,4148.76,305499.60000000003
Raigarh,581868.0,333992.23199999996,27929.664,75642.84,66638.0,25189.163999999997,1999.1399999999999,38183.574
Raigarh,581868.0,333992.23199999996,27929.664,75642.84,66638.0,11794.926,733.018,53976.780000000006
Raigarh,581868.0,333992.23199999996,27929.664,75642.84,377160.0,142566.47999999998,11314.8,216112.68
Raigarh,581868.0,333992.23199999996,27929.664,75642.84,377160.0,66757.31999999999,4148.76,305499.60000000003
Raigarh,581868.0,164668.64400000003,20947.248000000003,296170.812,66638.0,25189.163999999997,1999.1399999999999,38183.574
Raigarh,581868.0,164668.64400000003,20947.248000000003,296170.812,66638.0,11794.926,733.018,53976.780000000006
Raigarh,581868.0,164668.64400000003,20947.248000000003,296170.812,377160.0,142566.47999999998,11314.8,216112.68
Raigarh,581868.0,164668.64400000003,20947.248000000003,296170.812,377160.0,66757.31999999999,4148.76,305499.60000000003
Korba,206598.0,112389.312,6611.136,24585.162,126055.0,37438.335,2016.88,73868.23
Janjgir - Champa,379583.0,223953.97,21256.647999999997,41754.13,61190.0,26801.219999999998,2325.22,27168.36
Kabeerdham,187311.0,114072.39899999999,11613.282,16857.989999999998,23868.0,8759.556,1217.268,11814.66
Rajnandgaon,313604.0,149589.108,10662.536,58016.74,76528.0,25101.183999999997,1913.2,40712.896
Durg,533448.0,279526.75200000004,26672.4,74682.72,349741.0,103523.33600000001,7694.302000000001,218937.866
Raipur,673499.0,383894.43,39736.441000000006,86881.371,395001.0,118895.30099999999,11455.028999999999,256750.65000000002
Mahasamund,274793.0,164875.8,12640.478,41768.536,35774.0,14738.888,1466.734,17922.774
Dhamtari,168689.0,92947.63900000001,7084.938,40822.738,41792.0,16382.464,1462.72,22400.512000000002
Uttar Bastar Kanker,169191.0,78673.815,5075.73,25040.268000000004,24878.0,9403.883999999998,796.096,15150.702
Bastar,316425.0,165173.85,10758.45,43983.075000000004,54894.0,19432.476,1591.926,33485.34
Narayanpur,26916.0,15503.616000000002,1184.304,1103.5559999999998,6179.0,3416.9869999999996,135.93800000000002,2731.118
Dakshin Bastar Dantewada,106545.0,53379.045,3409.44,7671.240000000001,31304.0,11050.312,907.8159999999999,15589.392
Bijapur,50449.0,28503.684999999998,2118.858,1362.123,7942.0,4860.504,246.202,2231.702
Bijapur,50449.0,28503.684999999998,2118.858,1362.123,7942.0,2199.9339999999997,230.31799999999998,4725.49
